keys,en,fr,es,pt,de,it,ru,tr,pl,id,vi,uk,el
"Let us know with a quick rating, it really helps!","Let us know with a quick rating, it really helps!","Dites-le nous avec une note, ça aide beaucoup !","Déjanos tu valoración, ¡nos ayuda mucho!","Conte para nós com uma avaliação rápida, isso ajuda muito!","Sag es uns mit einer kurzen Bewertung, das hilft wirklich!","Faccelo sapere con una recensione veloce, aiuta davvero!","Оцените нас, это правда помогает!","Hızlı bir puanla bize bildir, gerçekten yardımcı oluyor!","Daj nam znać szybką oceną, to naprawdę pomaga!","Beri tahu kami dengan penilaian singkat, sangat membantu!","Hãy đánh giá nhanh cho chúng tôi biết, điều đó thực sự hữu ích!","Оцініть нас, це дуже допомагає!","Πες μας με μια γρήγορη αξιολόγηση, βοηθάει πολύ!"
Rate it,Rate it,Noter,Valorar,Avaliar,Bewerten,Valuta,Оценить,Puan ver,Oceń,Beri penilaian,Đánh giá,Оцінити,Αξιολόγησέ το
Not now,Not now,Plus tard,Ahora no,Agora não,Jetzt nicht,Non ora,Не сейчас,Şimdi değil,Nie teraz,Nanti saja,Để sau,Не зараз,Όχι τώρα
Don't ask again,Don't ask again,Ne plus demander,No volver a preguntar,Não perguntar de novo,Nicht mehr fragen,Non chiedere più,Больше не спрашивать,Tekrar sorma,Nie pytaj ponownie,Jangan tanya lagi,Đừng hỏi lại,Більше не питати,Μη ρωτήσεις ξανά
Review game,Review game,Noter le jeu,Valorar el juego,Analisar jogo,Partie analysieren,Analizza partita,Разбор игры,Oyunu incele,Analiza gry,Ulas permainan,Phân tích ván,Розбір гри,Ανάλυση παιχνιδιού
Free games reminder,Free games reminder,Rappel des parties gratuites,Recordatorio de partidas gratis,Lembrete de jogos grátis,Erinnerung an Gratispartien,Promemoria partite gratuite,Напоминание об играх,Ücretsiz oyun hatırlatıcısı,Przypomnienie o darmowych grach,Pengingat permainan gratis,Nhắc lượt chơi miễn phí,Нагадування про безкоштовні ігри,Υπενθύμιση δωρεάν παιχνιδιών
Reminds you when your free daily games reset.,Reminds you when your free daily games reset.,Vous prévient quand vos parties gratuites du jour reviennent.,Te avisa cuando vuelven tus partidas gratis del día.,Lembra você quando seus jogos grátis diários são renovados.,"Erinnert dich, wenn deine täglichen Gratispartien zurückkommen.",Ti avvisa quando le partite gratuite giornaliere si rinnovano.,"Напомнит, когда обновятся бесплатные игры.",Günlük ücretsiz oyunların sıfırlandığında sana hatırlatır.,"Przypomina, gdy odnawiają się Twoje darmowe gry dzienne.",Mengingatkanmu saat permainan gratis harianmu direset.,Nhắc bạn khi lượt chơi miễn phí mỗi ngày được làm mới.,"Нагадує, коли оновлюються щоденні безкоштовні ігри.",Σου θυμίζει πότε ανανεώνονται τα δωρεάν καθημερινά παιχνίδια σου.
Puzzles,Puzzles,Puzzles,Puzzles,Quebra-cabeças,Puzzles,Puzzle,Задачи,Bulmacalar,Zagadki,Teka-teki,Câu đố,Задачі,Γρίφοι
Puzzle streak,Puzzle streak,Série de puzzles,Racha de puzzles,Sequência de quebra-cabeças,Puzzle-Serie,Serie di puzzle,Серия задач,Bulmaca serisi,Seria zagadek,Rentetan teka-teki,Chuỗi câu đố,Серія задач,Σερί γρίφων
Go as far as you can!,Go as far as you can!,Va aussi loin que possible !,¡Llega tan lejos como puedas!,Vá o mais longe que puder!,Komm so weit du kannst!,Arriva più lontano che puoi!,Пройдите как можно дальше!,Gidebildiğin kadar ilerle!,Zajdź jak najdalej!,Sejauh yang kamu bisa!,Đi xa nhất có thể!,Пройдіть якнайдалі!,Φτάσε όσο πιο μακριά μπορείς!
Streak,Streak,Série,Racha,Sequência,Serie,Serie,Серия,Seri,Seria,Rentetan,Chuỗi,Серія,Σερί
New,New,Nouvelle,Nueva,Novo,Neu,Nuova,Новая,Yeni,Nowa,Baru,Mới,Нова,Νέο
Resume,Resume,Reprendre la,Reanudar la,Continuar,Fortsetzen,Riprendi,Продолжить,Devam et,Wznów,Lanjutkan,Tiếp tục,Продовжити,Συνέχεια
puzzle streak,puzzle streak,série de puzzles,racha de puzzles,sequência de quebra-cabeças,Puzzle-Serie,serie di puzzle,серия задач,bulmaca serisi,seria zagadek,rentetan teka-teki,chuỗi câu đố,серія задач,σερί γρίφων
Save and leave,Save and leave,Sauver et quitter,Guardar y salir,Salvar e sair,Speichern und verlassen,Salva ed esci,Сохранить и выйти,Kaydet ve çık,Zapisz i wyjdź,Simpan dan keluar,Lưu và thoát,Зберегти і вийти,Αποθήκευση και έξοδος
Your streak is saved. Resume it any time.,Your streak is saved. Resume it any time.,Ta série est sauvegardée. Reprends quand tu veux.,Tu racha está guardada. Reanuda cuando quieras.,Sua sequência está salva. Continue quando quiser.,Deine Serie ist gespeichert. Setze sie jederzeit fort.,La tua serie è salvata. Riprendila quando vuoi.,Серия сохранена. Продолжите в любое время.,Serin kaydedildi. İstediğin zaman devam et.,Twoja seria jest zapisana. Wznów ją w każdej chwili.,Rentetanmu tersimpan. Lanjutkan kapan saja.,Chuỗi của bạn đã được lưu. Tiếp tục bất cứ lúc nào.,Вашу серію збережено. Продовжуйте будь-коли.,Το σερί σου αποθηκεύτηκε. Συνέχισέ το όποτε θες.
Find the best move!,Find the best move!,Trouve le meilleur coup !,¡Encuentra la mejor jugada!,Encontre o melhor lance!,Finde den besten Zug!,Trova la mossa migliore!,Найдите лучший ход!,En iyi hamleyi bul!,Znajdź najlepszy ruch!,Temukan langkah terbaik!,Tìm nước đi hay nhất!,Знайдіть найкращий хід!,Βρες την καλύτερη κίνηση!
Correct!,Correct!,Correct !,¡Correcto!,Correto!,Richtig!,Corretto!,Верно!,Doğru!,Dobrze!,Benar!,Chính xác!,Правильно!,Σωστά!
Wrong move!,Wrong move!,Mauvais coup !,¡Jugada incorrecta!,Lance errado!,Falscher Zug!,Mossa sbagliata!,Неверный ход!,Yanlış hamle!,Zły ruch!,Langkah salah!,Sai nước rồi!,Неправильний хід!,Λάθος κίνηση!
New best!,New best!,Nouveau record !,¡Nuevo récord!,Novo recorde!,Neuer Rekord!,Nuovo record!,Новый рекорд!,Yeni rekor!,Nowy rekord!,Rekor baru!,Kỷ lục mới!,Новий рекорд!,Νέο ρεκόρ!
Run over,Run over,Série terminée,Racha terminada,Fim da rodada,Lauf beendet,Serie finita,Серия окончена,Tur bitti,Koniec serii,Putaran berakhir,Hết lượt rồi,Серію завершено,Ο γύρος τελείωσε
A new personal best!,A new personal best!,Ton meilleur score !,¡Tu mejor marca!,Um novo recorde pessoal!,Ein neuer persönlicher Rekord!,Un nuovo record personale!,Новый личный рекорд!,Yeni bir kişisel rekor!,Nowy rekord osobisty!,Rekor pribadi baru!,Kỷ lục cá nhân mới!,Новий особистий рекорд!,Νέο προσωπικό ρεκόρ!
Even the best miss one!,Even the best miss one!,Personne n'est parfait !,¡Nadie es perfecto!,Até os melhores erram!,Auch die Besten verpassen mal einen!,Anche i migliori ne sbagliano una!,Даже лучшие ошибаются!,En iyiler bile bazen kaçırır!,Nawet najlepsi się mylą!,Yang terbaik pun bisa keliru!,Ngay cả cao thủ cũng có lúc lỡ!,Навіть найкращі помиляються!,Ακόμα και οι καλύτεροι κάνουν λάθος!
You solved %d in a row!,You solved %d in a row!,%d d'affilée !,¡%d seguidas!,Você resolveu %d seguidos!,Du hast %d in Folge gelöst!,Ne hai risolti %d di fila!,Вы решили %d подряд!,Üst üste %d tane çözdün!,Rozwiązano %d z rzędu!,Kamu memecahkan %d berturut-turut!,Bạn đã giải %d câu liên tiếp!,Ви розв'язали %d поспіль!,Έλυσες %d στη σειρά!
Do better!,Do better!,Faire mieux !,¡A mejorar!,Supere-se!,Das schaffst du besser!,Fai meglio!,Можно лучше!,Daha iyisini yap!,Możesz lepiej!,Ayo lebih baik lagi!,Làm tốt hơn!,Спробуйте краще!,Μπορείς καλύτερα!
Hardest solved,Hardest solved,Plus dur résolu,Más difícil resuelto,Mais difícil resolvido,Schwerstes gelöst,Più difficile risolto,Сложнейшая решена,En zor çözülen,Najtrudniejsza rozwiązana,Tersulit dipecahkan,Câu khó nhất đã giải,Найскладніша розв'язана,Δυσκολότερος που έλυσες
Best: %d,Best: %d,Record : %d,Récord: %d,Recorde: %d,Rekord: %d,Record: %d,Рекорд: %d,En iyi: %d,Rekord: %d,Terbaik: %d,Kỷ lục: %d,Рекорд: %d,Ρεκόρ: %d
✓   Unlimited puzzles,✓   Unlimited puzzles,✓   Puzzles illimités,✓   Puzzles ilimitados,✓   Quebra-cabeças ilimitados,✓   Unbegrenzte Puzzles,✓   Puzzle illimitati,✓   Безлимитные задачи,✓   Sınırsız bulmaca,✓   Nielimitowane zagadki,✓   Teka-teki tanpa batas,✓   Câu đố không giới hạn,✓   Необмежені задачі,✓   Απεριόριστοι γρίφοι
Out of free puzzles today,Out of free puzzles today,Plus de puzzles gratuits aujourd'hui,No quedan puzzles gratis hoy,Sem quebra-cabeças grátis hoje,Keine Gratis-Puzzles mehr heute,Puzzle gratuiti finiti per oggi,Бесплатные задачи на сегодня кончились,Bugünkü ücretsiz bulmacaların bitti,Koniec darmowych zagadek na dziś,Teka-teki gratis hari ini habis,Hết câu đố miễn phí hôm nay,Безкоштовні задачі на сьогодні закінчились,Τέλος οι δωρεάν γρίφοι για σήμερα
Free players get 1 puzzle run a day. It comes back tomorrow!,Free players get 1 puzzle run a day. It comes back tomorrow!,Les joueurs gratuits ont 1 partie de puzzles par jour. Elle revient demain !,Los jugadores gratis tienen 1 partida de puzzles al día. Vuelve mañana.,Jogadores grátis têm 1 rodada de quebra-cabeças por dia. Ela volta amanhã!,Gratisspieler erhalten 1 Puzzle-Lauf pro Tag. Er kommt morgen zurück!,I giocatori gratuiti hanno 1 serie di puzzle al giorno. Torna domani!,Бесплатно доступна 1 серия задач в день. Она вернётся завтра!,Ücretsiz oyuncular günde 1 bulmaca turu alır. Yarın geri gelir!,Gracze darmowi mają 1 serię zagadek dziennie. Wraca jutro!,Pemain gratis mendapat 1 putaran teka-teki sehari. Kembali besok!,Người chơi miễn phí được 1 lượt giải câu đố mỗi ngày. Nó trở lại vào ngày mai!,Безкоштовно доступна 1 серія задач на день. Повернеться завтра!,Οι δωρεάν παίκτες έχουν 1 γύρο γρίφων τη μέρα. Επιστρέφει αύριο!
